
                             mean       std    median      5.0%     95.0%     n_eff     r_hat
               rw[0,12]      0.31      0.17      0.28      0.12      0.49     17.91      0.99
               rw[0,13]      0.29      0.13      0.27      0.12      0.49     13.84      1.00
               rw[0,14]      0.30      0.14      0.27      0.11      0.49     17.78      1.00
               rw[0,15]      0.29      0.13      0.28      0.14      0.47     17.14      1.01
               rw[0,16]      0.31      0.16      0.27      0.08      0.52     13.65      1.03
               rw[0,17]      0.32      0.16      0.28      0.13      0.52     12.54      1.02
               rw[0,18]      0.33      0.18      0.27      0.10      0.53     14.98      1.02
               rw[0,19]      0.33      0.15      0.30      0.13      0.53     14.47      1.01
               rw[0,20]      0.33      0.14      0.30      0.09      0.51     15.24      1.01
               rw[0,21]      0.34      0.15      0.32      0.11      0.51     15.80      1.02
               rw[0,22]      0.33      0.14      0.31      0.13      0.52     15.26      1.01
               rw[0,23]      0.33      0.16      0.31      0.13      0.52     16.52      1.01
               rw[0,24]      0.32      0.15      0.30      0.09      0.49     14.94      1.00
               rw[0,25]      0.32      0.16      0.30      0.12      0.54     15.52      1.00
               rw[0,26]      0.32      0.16      0.28      0.11      0.52     13.66      1.00
               rw[0,27]      0.32      0.16      0.27      0.10      0.51     13.66      1.00
               rw[0,28]      0.32      0.16      0.29      0.08      0.51     14.94      1.00
               rw[0,29]      0.32      0.16      0.29      0.09      0.51     13.48      1.00
               rw[0,30]      0.31      0.15      0.28      0.11      0.54     14.16      1.01
               rw[0,31]      0.30      0.14      0.28      0.06      0.49     16.92      1.00
               rw[0,32]      0.27      0.14      0.25      0.09      0.51     15.04      1.00
               rw[0,33]      0.25      0.13      0.23      0.08      0.49     14.97      1.01
               rw[0,34]      0.22      0.10      0.21      0.05      0.35     14.45      1.01
               rw[0,35]      0.20      0.09      0.19      0.06      0.32     10.49      1.03
               rw[0,36]      0.19      0.09      0.18      0.04      0.30     11.63      1.02
               rw[0,37]      0.19      0.08      0.18      0.03      0.30     11.54      1.03
               rw[0,38]      0.18      0.08      0.16      0.04      0.29     12.67      1.05
               rw[0,39]      0.17      0.08      0.16      0.05      0.29     14.56      1.03
               rw[0,40]      0.16      0.08      0.15      0.04      0.27     18.97      1.01
               rw[0,41]      0.16      0.09      0.14      0.03      0.26     19.00      1.00
               rw[0,42]      0.16      0.09      0.15      0.05      0.29     16.43      1.03
               rw[0,43]      0.15      0.08      0.13      0.04      0.27     17.14      1.03
               rw[0,44]      0.16      0.10      0.14      0.03      0.28     21.34      1.04
               rw[0,45]      0.16      0.10      0.14      0.03      0.31     22.43      1.02
               rw[0,46]      0.17      0.11      0.15      0.03      0.29     18.07      1.05
               rw[0,47]      0.17      0.12      0.14      0.03      0.28     22.58      1.03
               rw[0,48]      0.18      0.13      0.14      0.04      0.34     22.72      1.02
                rw[1,0]      0.96      0.21      0.94      0.59      1.25     33.05      0.99
                rw[1,1]      0.98      0.31      0.92      0.57      1.46     27.74      0.99
                rw[1,2]      1.00      0.40      0.93      0.43      1.53     21.79      0.99
                rw[1,3]      0.99      0.39      0.94      0.41      1.54     20.04      1.00
                rw[1,4]      1.00      0.46      0.92      0.37      1.70     19.43      0.99
                rw[1,5]      1.02      0.54      0.88      0.35      1.79     15.95      1.00
                rw[1,6]      0.97      0.50      0.84      0.33      1.71     14.26      1.01
                rw[1,7]      0.92      0.48      0.80      0.29      1.74     14.04      1.02
                rw[1,8]      0.87      0.43      0.74      0.27      1.47     14.13      1.01
                rw[1,9]      0.80      0.43      0.65      0.30      1.47     13.90      1.01
               rw[1,10]      0.74      0.38      0.65      0.23      1.31     14.21      1.02
               rw[1,11]      0.71      0.38      0.63      0.17      1.23     14.67      1.02
               rw[1,12]      0.66      0.35      0.58      0.28      1.20     14.66      1.02
               rw[1,13]      0.62      0.32      0.54      0.18      1.09     13.09      1.02
               rw[1,14]      0.58      0.29      0.53      0.21      0.99     13.15      1.04
               rw[1,15]      0.56      0.33      0.52      0.15      0.92     15.79      1.02
               rw[1,16]      0.52      0.29      0.46      0.17      0.91     16.17      1.01
               rw[1,17]      0.48      0.25      0.44      0.15      0.88     15.23      1.01
               rw[1,18]      0.47      0.24      0.39      0.13      0.82     14.54      1.00
               rw[1,19]      0.47      0.25      0.40      0.13      0.83     13.55      1.01
               rw[1,20]      0.46      0.24      0.43      0.14      0.82     13.78      1.00
               rw[1,21]      0.44      0.23      0.38      0.12      0.80     13.98      1.02
               rw[1,22]      0.42      0.22      0.38      0.12      0.72     13.77      1.00
               rw[1,23]      0.40      0.24      0.32      0.09      0.73     13.97      1.00
               rw[1,24]      0.37      0.23      0.29      0.10      0.73     14.29      1.00
               rw[1,25]      0.34      0.22      0.29      0.11      0.67     15.69      1.00
               rw[1,26]      0.31      0.19      0.27      0.10      0.57     15.37      1.01
               rw[1,27]      0.29      0.17      0.26      0.09      0.54     14.70      1.02
               rw[1,28]      0.26      0.16      0.21      0.09      0.45     14.98      1.02
               rw[1,29]      0.23      0.13      0.19      0.05      0.40     15.60      1.01
               rw[1,30]      0.20      0.11      0.17      0.06      0.36     15.82      1.02
               rw[1,31]      0.19      0.11      0.16      0.04      0.36     13.99      1.02
               rw[1,32]      0.18      0.11      0.15      0.03      0.34     13.80      1.02
               rw[1,33]      0.16      0.10      0.13      0.03      0.32     14.07      1.02
               rw[1,34]      0.16      0.10      0.13      0.03      0.30     15.41      1.02
               rw[1,35]      0.15      0.10      0.13      0.01      0.28     15.96      1.03
               rw[1,36]      0.15      0.09      0.12      0.02      0.30     14.51      1.02
               rw[1,37]      0.15      0.11      0.12      0.01      0.29     14.35      1.02
               rw[1,38]      0.15      0.12      0.11      0.01      0.29     15.98      1.02
               rw[1,39]      0.15      0.12      0.12      0.01      0.26     17.89      1.02
               rw[1,40]      0.15      0.12      0.12      0.01      0.27     15.90      1.02
               rw[1,41]      0.14      0.11      0.12      0.01      0.24     15.03      1.02
               rw[1,42]      0.15      0.12      0.12      0.02      0.27     14.42      1.03
               rw[1,43]      0.15      0.12      0.12      0.01      0.27     15.06      1.01
               rw[1,44]      0.15      0.12      0.12      0.01      0.28     15.67      1.03
               rw[1,45]      0.16      0.14      0.13      0.01      0.32     16.34      1.02
               rw[1,46]      0.16      0.15      0.13      0.01      0.30     17.46      1.03
               rw[1,47]      0.16      0.14      0.12      0.01      0.32     15.86      1.02
               rw[1,48]      0.17      0.15      0.13      0.01      0.37     15.09      1.02
               sigma[0]      0.23      0.08      0.23      0.12      0.37     27.99      1.03
               sigma[1]      0.20      0.07      0.20      0.10      0.29     30.94      1.01

Number of divergences: 1
