
                            mean       std    median      5.0%     95.0%     n_eff     r_hat
                rw[33]      0.16      4.98      0.20     -8.40      7.57     77.59      1.03
                rw[34]      0.17      5.02      0.30     -7.95      8.34     77.81      1.03
                rw[35]      0.18      5.04      0.24     -7.88      8.09     78.39      1.03
                rw[36]      0.18      5.10      0.33     -8.01      8.44     76.77      1.04
                rw[37]      0.16      5.15      0.42     -7.93      8.57     77.65      1.04
                rw[38]      0.14      5.22      0.33     -8.56      8.25     78.65      1.04
                rw[39]      0.11      5.27      0.43     -8.43      8.58     77.75      1.04
                rw[40]      0.08      5.27      0.51     -8.39      8.71     77.41      1.04
                rw[41]      0.13      5.31      0.37     -8.45      8.50     76.40      1.05
                rw[42]      0.14      5.29      0.43     -8.16      8.85     76.12      1.04
                rw[43]      0.15      5.32      0.18     -8.42      8.78     75.63      1.04
                rw[44]      0.11      5.42      0.05     -7.43     10.09     74.58      1.04
                rw[45]      0.13      5.49      0.23     -9.38      8.78     73.17      1.04
                rw[46]      0.10      5.54      0.26     -9.01      9.29     73.48      1.04
                rw[47]      0.08      5.57      0.13     -9.52      8.74     71.79      1.04
                rw[48]      0.07      5.56      0.13     -9.04      9.13     72.51      1.03
                rw[49]      0.08      5.62      0.20     -9.59      9.02     72.50      1.04
                rw[50]      0.04      5.65      0.19     -8.96      9.71     65.85      1.04
                rw[51]      0.03      5.68     -0.01    -10.01      8.57     64.38      1.04
                rw[52]     -0.01      5.74     -0.00     -8.88      9.63     65.47      1.04
                rw[53]     -0.01      5.80     -0.06    -10.11      8.48     62.91      1.04
                rw[54]     -0.05      5.84     -0.01    -10.16      8.61     66.96      1.04
                rw[55]     -0.08      5.95     -0.11    -10.37      8.67     61.15      1.04
                rw[56]     -0.11      6.03     -0.19     -9.44      9.79     60.20      1.04
                rw[57]     -0.06      6.13     -0.20     -9.46      9.98     61.13      1.04
                rw[58]      0.00      6.15     -0.07     -9.12     10.32     61.24      1.04
                rw[59]     -0.04      6.17     -0.04     -9.97      9.55     61.59      1.04
                rw[60]     -0.05      6.22     -0.01     -9.71     10.05     59.83      1.04
                rw[61]     -0.06      6.27     -0.15     -9.60     10.53     57.33      1.04
                rw[62]     -0.01      6.31     -0.11    -10.63      9.71     58.45      1.04
                rw[63]     -0.06      6.40     -0.14    -10.25     10.44     60.26      1.04
                rw[64]     -0.05      6.49     -0.20    -10.51     10.41     60.88      1.04
                rw[65]     -0.14      6.52     -0.56    -11.10      9.94     61.80      1.04
                rw[66]     -0.17      6.63     -0.60    -10.89     10.35     63.74      1.04
                rw[67]     -0.20      6.67     -0.51    -10.95     10.33     64.04      1.03
                rw[68]     -0.20      6.73     -0.45    -11.70      9.96     65.35      1.03
                rw[69]     -0.16      6.74     -0.43    -11.19     10.45     66.46      1.03
                rw[70]     -0.18      6.86     -0.25    -11.37     10.56     66.39      1.03
                rw[71]     -0.12      6.98     -0.23    -12.39     10.28     65.88      1.03
                rw[72]     -0.16      7.06     -0.22    -11.99     10.98     66.33      1.03
                rw[73]     -0.22      7.10     -0.25    -11.97     11.01     68.12      1.03
                rw[74]     -0.24      7.10     -0.22    -12.36     10.26     70.98      1.03
                rw[75]     -0.23      7.15     -0.06    -12.68     10.40     74.40      1.02
                rw[76]     -0.27      7.21     -0.31    -12.36     11.15     74.58      1.02
                rw[77]     -0.26      7.25     -0.30    -12.87     10.45     75.23      1.03
                rw[78]     -0.27      7.31     -0.25    -12.51     10.89     76.70      1.03
                rw[79]     -0.24      7.35     -0.31    -12.44     11.69     76.79      1.03
                rw[80]     -0.24      7.42     -0.44    -12.19     11.96     76.32      1.03
                rw[81]     -0.22      7.51     -0.39    -12.00     12.56     73.59      1.03
                rw[82]     -0.21      7.56     -0.29    -13.01     11.70     75.99      1.03
                rw[83]     -0.25      7.62     -0.37    -11.93     13.22     75.66      1.02
                rw[84]     -0.22      7.71     -0.42    -11.69     13.10     78.51      1.02
                rw[85]     -0.29      7.81     -0.40    -11.86     13.82     80.38      1.02
                rw[86]     -0.25      7.85     -0.29    -12.46     13.21     80.66      1.02
                rw[87]     -0.21      7.91     -0.35    -12.45     13.05     84.35      1.02
         scale_on_coef   -261.05     73.98   -247.28   -386.79   -150.69    244.95      1.00
                 sigma      0.25      0.01      0.25      0.24      0.26   1110.56      1.00
      time_to_death[0]      0.00      0.01      0.00      0.00      0.01    306.24      1.00
      time_to_death[1]      0.00      0.02      0.00      0.00      0.01    507.58      1.00
      time_to_death[2]      0.00      0.02      0.00      0.00      0.01    768.38      1.00
      time_to_death[3]      0.01      0.02      0.00      0.00      0.01   1037.44      1.00
      time_to_death[4]      0.01      0.04      0.00      0.00      0.04    721.08      1.00
      time_to_death[5]      0.04      0.08      0.00      0.00      0.15    388.65      1.00
      time_to_death[6]      0.19      0.15      0.18      0.00      0.40    366.57      1.00
      time_to_death[7]      0.01      0.02      0.00      0.00      0.02   1038.85      1.00
      time_to_death[8]      0.01      0.03      0.00      0.00      0.03    885.32      1.00
      time_to_death[9]      0.01      0.03      0.00      0.00      0.03    926.85      1.00
     time_to_death[10]      0.01      0.04      0.00      0.00      0.03   1021.22      1.00
     time_to_death[11]      0.03      0.08      0.00      0.00      0.12    908.38      1.00
     time_to_death[12]      0.15      0.19      0.03      0.00      0.48    660.12      1.00
     time_to_death[13]      0.09      0.14      0.00      0.00      0.30    968.91      1.00
     time_to_death[14]      0.07      0.13      0.00      0.00      0.24    769.93      1.00
     time_to_death[15]      0.04      0.10      0.00      0.00      0.14    841.12      1.00
     time_to_death[16]      0.03      0.08      0.00      0.00      0.09    783.82      1.00
     time_to_death[17]      0.02      0.04      0.00      0.00      0.05   1095.51      1.00
     time_to_death[18]      0.02      0.06      0.00      0.00      0.09   1061.61      1.00
     time_to_death[19]      0.03      0.06      0.00      0.00      0.11   1106.08      1.00
     time_to_death[20]      0.02      0.04      0.00      0.00      0.07    946.87      1.00
     time_to_death[21]      0.02      0.04      0.00      0.00      0.05   1023.24      1.00
     time_to_death[22]      0.01      0.02      0.00      0.00      0.03    529.64      1.00
     time_to_death[23]      0.01      0.02      0.00      0.00      0.02    925.19      1.00
     time_to_death[24]      0.00      0.01      0.00      0.00      0.01   1108.03      1.00
     time_to_death[25]      0.00      0.01      0.00      0.00      0.01    990.84      1.00
     time_to_death[26]      0.00      0.01      0.00      0.00      0.01   1101.20      1.00
     time_to_death[27]      0.00      0.01      0.00      0.00      0.01   1108.18      1.00
     time_to_death[28]      0.00      0.01      0.00      0.00      0.01   1161.33      1.00
     time_to_death[29]      0.00      0.01      0.00      0.00      0.01    878.35      1.00
     time_to_death[30]      0.00      0.01      0.00      0.00      0.01   1148.83      1.00
     time_to_death[31]      0.01      0.02      0.00      0.00      0.03   1128.34      1.00
     time_to_death[32]      0.03      0.04      0.00      0.00      0.10    475.64      1.00
     time_to_death[33]      0.01      0.02      0.00      0.00      0.04    908.15      1.00
     time_to_death[34]      0.01      0.02      0.00      0.00      0.02    827.87      1.00
     time_to_death[35]      0.00      0.01      0.00      0.00      0.01    928.26      1.00
     time_to_death[36]      0.00      0.01      0.00      0.00      0.01   1097.36      1.00
     time_to_death[37]      0.00      0.01      0.00      0.00      0.01   1062.29      1.00
     time_to_death[38]      0.00      0.01      0.00      0.00      0.01   1026.21      1.00
     time_to_death[39]      0.00      0.01      0.00      0.00      0.01   1096.98      1.00
     time_to_death[40]      0.00      0.01      0.00      0.00      0.01   1092.07      1.00
     time_to_death[41]      0.00      0.01      0.00      0.00      0.01    679.77      1.00
     time_to_death[42]      0.00      0.01      0.00      0.00      0.01    503.08      1.00
     time_to_death[43]      0.00      0.01      0.00      0.00      0.01    873.67      1.00
     time_to_death[44]      0.00      0.00      0.00      0.00      0.00   1007.22      1.00
     time_to_death[45]      0.00      0.00      0.00      0.00      0.00   1130.02      1.00
     time_to_death[46]      0.00      0.00      0.00      0.00      0.00   1168.99      1.00
     time_to_death[47]      0.00      0.00      0.00      0.00      0.00   1166.60      1.00
     time_to_death[48]      0.00      0.00      0.00      0.00      0.00   1095.43      1.00
     time_to_death[49]      0.00      0.00      0.00      0.00      0.00   1128.43      1.00
     time_to_death[50]      0.00      0.00      0.00      0.00      0.00   1011.80      1.00
     time_to_death[51]      0.00      0.00      0.00      0.00      0.00    823.18      1.00
     time_to_death[52]      0.00      0.00      0.00      0.00      0.00    903.68      1.00
     time_to_death[53]      0.00      0.00      0.00      0.00      0.00   1009.33      1.00
     time_to_death[54]      0.00      0.00      0.00      0.00      0.00   1108.33      1.00
     time_to_death[55]      0.00      0.00      0.00      0.00      0.00   1059.98      1.00
     time_to_death[56]      0.00      0.00      0.00      0.00      0.00    926.43      1.00
     time_to_death[57]      0.00      0.00      0.00      0.00      0.00   1142.19      1.00
     time_to_death[58]      0.00      0.00      0.00      0.00      0.00   1054.67      1.00
     time_to_death[59]      0.00      0.00      0.00      0.00      0.00   1124.23      1.00
     time_to_death[60]      0.00      0.00      0.00      0.00      0.00   1022.86      1.00
     time_to_death[61]      0.00      0.00      0.00      0.00      0.00    808.68      1.00
     time_to_death[62]      0.00      0.00      0.00      0.00      0.00   1134.36      1.00
     time_to_death[63]      0.00      0.00      0.00      0.00      0.00   1048.71      1.00
     time_to_death[64]      0.00      0.00      0.00      0.00      0.00    945.40      1.00
     time_to_death[65]      0.00      0.00      0.00      0.00      0.00    980.85      1.00
     time_to_death[66]      0.00      0.00      0.00      0.00      0.00    922.72      1.00
