
                            mean       std    median      5.0%     95.0%     n_eff     r_hat
          det_prob[47]      0.24      0.09      0.23      0.10      0.38     53.16      1.01
          det_prob[48]      0.24      0.09      0.23      0.10      0.38     53.06      1.01
          det_prob[49]      0.25      0.09      0.23      0.11      0.40     51.84      1.01
          det_prob[50]      0.25      0.09      0.24      0.10      0.39     53.60      1.01
          det_prob[51]      0.26      0.09      0.24      0.10      0.39     54.99      1.02
          det_prob[52]      0.26      0.10      0.25      0.11      0.40     52.81      1.02
          det_prob[53]      0.27      0.10      0.25      0.12      0.42     52.56      1.02
          det_prob[54]      0.27      0.10      0.25      0.12      0.42     52.93      1.02
          det_prob[55]      0.27      0.10      0.25      0.12      0.43     54.54      1.02
          det_prob[56]      0.28      0.10      0.26      0.11      0.43     55.69      1.02
          det_prob[57]      0.28      0.10      0.26      0.12      0.43     57.41      1.03
          det_prob[58]      0.29      0.11      0.27      0.14      0.46     55.88      1.03
          det_prob[59]      0.29      0.11      0.27      0.12      0.46     58.29      1.03
          det_prob[60]      0.30      0.11      0.28      0.13      0.46     57.30      1.03
          det_prob[61]      0.31      0.11      0.29      0.14      0.48     57.71      1.03
          det_prob[62]      0.31      0.11      0.29      0.14      0.49     57.18      1.03
          det_prob[63]      0.32      0.11      0.30      0.14      0.50     54.85      1.04
          det_prob[64]      0.33      0.12      0.31      0.15      0.51     54.11      1.04
          det_prob[65]      0.34      0.12      0.31      0.14      0.51     53.39      1.04
          det_prob[66]      0.34      0.12      0.32      0.16      0.52     52.99      1.04
          det_prob[67]      0.35      0.12      0.33      0.15      0.52     52.65      1.04
          det_prob[68]      0.36      0.12      0.34      0.16      0.54     50.37      1.04
          det_prob[69]      0.36      0.12      0.35      0.16      0.54     50.30      1.04
          det_prob[70]      0.37      0.12      0.36      0.17      0.56     49.84      1.05
          det_prob[71]      0.38      0.13      0.37      0.17      0.56     49.46      1.05
          det_prob[72]      0.39      0.12      0.38      0.20      0.59     49.32      1.05
          det_prob[73]      0.40      0.13      0.39      0.20      0.59     50.35      1.05
          det_prob[74]      0.41      0.13      0.39      0.20      0.60     50.68      1.04
          det_prob[75]      0.41      0.13      0.40      0.21      0.62     49.31      1.05
          det_prob[76]      0.42      0.13      0.41      0.22      0.63     49.60      1.05
          det_prob[77]      0.43      0.13      0.41      0.23      0.64     47.78      1.05
          det_prob[78]      0.43      0.13      0.42      0.22      0.64     48.72      1.05
          det_prob[79]      0.44      0.13      0.43      0.24      0.65     50.18      1.05
          det_prob[80]      0.45      0.13      0.45      0.25      0.66     49.92      1.05
          det_prob[81]      0.46      0.13      0.45      0.23      0.65     49.01      1.06
          det_prob[82]      0.46      0.13      0.46      0.25      0.67     49.44      1.06
          det_prob[83]      0.47      0.13      0.46      0.26      0.68     49.02      1.05
          det_prob[84]      0.47      0.13      0.47      0.26      0.69     48.85      1.06
          det_prob[85]      0.48      0.13      0.48      0.26      0.69     50.87      1.05
          det_prob[86]      0.49      0.13      0.48      0.27      0.70     51.24      1.06
          det_prob[87]      0.50      0.13      0.49      0.28      0.70     50.39      1.06
          det_prob[88]      0.50      0.13      0.49      0.28      0.71     50.19      1.06
          det_prob[89]      0.51      0.13      0.50      0.27      0.70     49.35      1.07
          det_prob[90]      0.51      0.13      0.51      0.30      0.73     48.29      1.07
          det_prob[91]      0.52      0.13      0.52      0.28      0.71     48.99      1.07
          det_prob[92]      0.53      0.13      0.53      0.33      0.76     49.33      1.06
          det_prob[93]      0.54      0.13      0.53      0.31      0.74     49.17      1.07
          det_prob[94]      0.54      0.13      0.54      0.31      0.73     48.82      1.07
          det_prob[95]      0.54      0.13      0.54      0.32      0.75     49.01      1.07
          det_prob[96]      0.55      0.13      0.55      0.33      0.76     51.75      1.07
          det_prob[97]      0.55      0.13      0.55      0.32      0.76     50.84      1.07
          det_prob[98]      0.56      0.13      0.56      0.33      0.77     51.28      1.07
          det_prob[99]      0.56      0.13      0.56      0.33      0.76     53.40      1.07
         det_prob[100]      0.57      0.13      0.56      0.33      0.77     51.85      1.08
         det_prob[101]      0.57      0.13      0.57      0.33      0.77     50.90      1.08
         det_prob[102]      0.57      0.13      0.57      0.35      0.79     51.73      1.08
         det_prob[103]      0.58      0.13      0.58      0.35      0.79     52.26      1.08
         det_prob[104]      0.58      0.13      0.59      0.37      0.81     53.30      1.08
         det_prob[105]      0.59      0.13      0.59      0.37      0.81     52.28      1.08
         det_prob[106]      0.59      0.13      0.59      0.38      0.82     51.27      1.09
         det_prob[107]      0.60      0.13      0.60      0.39      0.83     52.65      1.08
         det_prob[108]      0.60      0.14      0.60      0.38      0.82     55.04      1.08
         det_prob[109]      0.60      0.14      0.60      0.37      0.81     54.70      1.08
         det_prob[110]      0.60      0.14      0.61      0.39      0.83     53.84      1.08
         det_prob[111]      0.60      0.14      0.61      0.39      0.83     53.27      1.09
         det_prob[112]      0.61      0.14      0.61      0.40      0.83     52.69      1.08
         det_prob[113]      0.61      0.14      0.62      0.40      0.84     52.14      1.08
         det_prob[114]      0.62      0.14      0.63      0.39      0.84     51.59      1.09
         det_prob[115]      0.62      0.14      0.63      0.40      0.85     50.68      1.09
         det_prob[116]      0.62      0.14      0.63      0.39      0.84     51.94      1.10
         det_prob[117]      0.62      0.14      0.63      0.39      0.84     50.53      1.10
         det_prob[118]      0.62      0.14      0.63      0.37      0.84     51.75      1.10
         det_prob[119]      0.62      0.14      0.64      0.38      0.85     52.75      1.10
         det_prob[120]      0.62      0.15      0.63      0.37      0.84     51.48      1.11
         det_prob[121]      0.62      0.15      0.63      0.38      0.85     49.75      1.11
         det_prob[122]      0.62      0.15      0.64      0.36      0.84     48.71      1.12
         det_prob[123]      0.63      0.15      0.64      0.38      0.86     48.25      1.12
         det_prob[124]      0.63      0.15      0.65      0.38      0.85     47.34      1.12
         det_prob[125]      0.63      0.15      0.64      0.42      0.89     45.36      1.13
         det_prob[126]      0.64      0.15      0.65      0.38      0.86     45.64      1.13
         det_prob[127]      0.64      0.15      0.65      0.42      0.90     40.32      1.13
         det_prob[128]      0.64      0.15      0.65      0.40      0.88     38.20      1.13
         det_prob[129]      0.64      0.15      0.65      0.39      0.86     35.93      1.14
         det_prob[130]      0.65      0.15      0.66      0.40      0.87     35.78      1.14
         det_prob[131]      0.65      0.14      0.66      0.41      0.87     39.70      1.13
         det_prob[132]      0.65      0.14      0.67      0.41      0.87     37.76      1.13
         det_prob[133]      0.66      0.14      0.67      0.40      0.87     41.04      1.13
         det_prob[134]      0.66      0.14      0.67      0.42      0.88     38.96      1.14
         det_prob[135]      0.66      0.14      0.68      0.45      0.90     34.80      1.14
         det_prob[136]      0.67      0.14      0.68      0.46      0.91     36.20      1.14
         det_prob[137]      0.67      0.14      0.69      0.45      0.90     35.16      1.14
         det_prob[138]      0.67      0.14      0.69      0.48      0.93     34.86      1.14
         det_prob[139]      0.68      0.14      0.69      0.49      0.93     33.38      1.15
         det_prob[140]      0.68      0.14      0.70      0.46      0.89     35.79      1.14
         det_prob[141]      0.69      0.13      0.70      0.46      0.88     38.69      1.14
         det_prob[142]      0.69      0.13      0.70      0.46      0.88     44.84      1.14
         det_prob[143]      0.69      0.13      0.71      0.47      0.89     44.50      1.14
         det_prob[144]      0.70      0.13      0.71      0.51      0.92     44.86      1.14
         det_prob[145]      0.70      0.13      0.71      0.51      0.92     42.51      1.14
         det_prob[146]      0.70      0.13      0.72      0.52      0.92     42.75      1.14
         det_prob[147]      0.71      0.13      0.72      0.52      0.92     44.15      1.13
         det_prob[148]      0.71      0.13      0.72      0.53      0.93     45.02      1.13
